2014-12-12 21:43:34,227 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-12-12 21:43:34,801 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-12-12 21:43:34,874 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-12-12 21:43:35,121 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-12-12 21:43:38,685 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-59174-1418417007734-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-23
2014-12-12 21:43:38,690 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:38,691 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:38,693 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:38,694 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:38,761 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:38,768 | INFO  | PListStore:[/home/moritz/rep/VS/apache-activemq-5.10.0/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-23
2014-12-12 21:43:38,769 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2014-12-12 21:43:38,770 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2014-12-12 21:43:38,772 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2014-12-12 21:43:38,964 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-59174-1418417007734-0:1) uptime 11.778 seconds | org.apache.activemq.broker.BrokerService | Thread-23
2014-12-12 21:43:38,965 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-59174-1418417007734-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-23
2014-12-12 21:43:38,965 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@415a8d30: startup date [Fri Dec 12 21:43:25 CET 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-23
2014-12-12 21:43:38,987 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-23
2014-12-13 12:00:46,588 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1feb6bd5: startup date [Sat Dec 13 12:00:46 CET 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-12-13 12:00:47,903 | INFO  | PListStore:[/home/moritz/rep/VS/apache-activemq-5.10.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-12-13 12:00:47,937 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/moritz/rep/VS/apache-activemq-5.10.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2014-12-13 12:00:48,390 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-12-13 12:00:48,424 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-12-13 12:00:48,428 | INFO  | Recovery replayed 3 operations from the journal in 0.021 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-12-13 12:00:48,589 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-55455-1418468448453-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-12-13 12:00:48,622 | INFO  | Listening for connections at: tcp://moritz-ThinkPad-Edge-S430:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-13 12:00:48,626 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-12-13 12:00:48,633 | INFO  | Listening for connections at: amqp://moritz-ThinkPad-Edge-S430:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
